Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Luís Figo,Midfielder,27,FC Barcelona,LaLiga,Real Madrid,LaLiga,00-01,NA,60000000
Hernán Crespo,Forward,25,Parma,Serie A,Lazio,Serie A,00-01,NA,56810000
Marc Overmars,Midfielder,27,Arsenal,Premier League,FC Barcelona,LaLiga,00-01,NA,40000000
Gabriel Batistuta,Forward,31,Fiorentina,Serie A,AS Roma,Serie A,00-01,NA,36150000
Nicolas Anelka,Forward,21,Real Madrid,LaLiga,Paris SG,Ligue 1,00-01,NA,34500000
Rio Ferdinand,Defender,22,West Ham,Premier League,Leeds,Premier League,00-01,NA,26000000
Flávio Conceicao,Midfielder,26,Dep. La Coruña,LaLiga,Real Madrid,LaLiga,00-01,NA,25000000
Savo Milosevic,Forward,26,Real Zaragoza,LaLiga,Parma,Serie A,00-01,NA,25000000
David Trézéguet,Forward,22,Monaco,Ligue 1,Juventus,Serie A,00-01,NA,23240000
Claudio López,Forward,25,Valencia CF,LaLiga,Lazio,Serie A,00-01,NA,23000000
Jimmy Floyd Hasselbaink,Forward,28,Atlético Madrid,LaLiga2,Chelsea,Premier League,00-01,NA,22500000
Gerard López,Midfielder,21,Valencia CF,LaLiga,FC Barcelona,LaLiga,00-01,NA,21600000
Lucas,Forward,21,Atlético-PR, Brazil,Stade Rennais,Ligue 1,00-01,NA,21300000
Pablo Aimar,Midfielder,21,River Plate, Argentina,Valencia CF,LaLiga,00-01,NA,21250000
Wálter Samuel,Defender,22,Boca Juniors, Argentina,AS Roma,Serie A,00-01,NA,20800000
Shabani Nonda,Forward,23,Stade Rennais,Ligue 1,Monaco,Ligue 1,00-01,NA,20000000
Robbie Keane,Forward,19,Coventry City,Premier League,Inter,Serie A,00-01,NA,19500000
José Mari,Forward,21,Atlético Madrid,LaLiga2,AC Milan,Serie A,00-01,NA,19000000
Jonathan Zebina,Defender,21,Cagliari Calcio,Serie B,AS Roma,Serie A,00-01,NA,18400000
Émerson,Midfielder,24,Bay. Leverkusen,1.Bundesliga,AS Roma,Serie A,00-01,NA,18000000
Tore André Flo,Forward,27,Chelsea,Premier League,Rangers, Scotland,00-01,NA,18000000
Sergiy Rebrov,Forward,26,Dynamo Kyiv,Premier Liga,Spurs,Premier League,00-01,NA,18000000
Angelo Peruzzi,Goalkeeper,30,Inter,Serie A,Lazio,Serie A,00-01,NA,17900000
Diego Tristán,Forward,24,RCD Mallorca,LaLiga,Dep. La Coruña,LaLiga,00-01,NA,17750000
Sylvain Wiltord,Forward,26,G. Bordeaux,Ligue 1,Arsenal,Premier League,00-01,NA,17500000
Fernando Redondo,Midfielder,31,Real Madrid,LaLiga,AC Milan,Serie A,00-01,NA,17500000
